,id,title,release_date,overview,popularity,vote_average,backdrop_path
0,807,Se7en,1995-09-22,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",20.1123,8.376,/p1PLSI5Nw2krGxD7X4ulul1tDAk.jpg
1,761053,Gabriel's Inferno: Part III,2020-11-19,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,3.0968,8.372,/fQq1FWp1rC89xDrRMuyFJdFUdMd.jpg
2,724089,Gabriel's Inferno: Part II,2020-07-31,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",1.6928,8.372,/jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg
3,27205,Inception,2010-07-15,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",26.4696,8.369,/gqby0RhyehP3uRrzmdyUZ0CgPPe.jpg
4,1058694,Radical,2023-10-19,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",2.5865,8.4,/gutU32BiBxJvJdzLv5RWC9hQhNh.jpg
5,803796,KPop Demon Hunters,2025-06-20,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",162.7852,8.352,/w3Bi0wygeFQctn6AqFTwhGNXRwL.jpg
6,567,Rear Window,1954-08-01,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,6.9572,8.348,/zZvtZZXRnZ4Tdcs0QEWaZZcIWy8.jpg
7,274,The Silence of the Lambs,1991-02-14,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",3.218,8.347,/aYcnDyLMnpKce1FOYUpZrXtgUye.jpg
8,12493,High and Low,1963-03-01,"In the midst of an attempt to take over his company, a powerhouse executive is hit with a huge ransom demand when his chauffeur's son is kidnapped by mistake.",5.2143,8.3,/A62quSOB8otoZvGiLvMVZ9G4BiO.jpg
9,569094,Spider-Man: Across the Spider-Verse,2023-05-31,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",17.9673,8.341,/kVd3a9YeLGkoeR50jGEXM6EqseS.jpg
